H0013797	1838-03	Wilhelm Weber auf der Reise nach London in Berlin. H. lädt Weber und Poggendorff zu einem Mittwoch um 10 Uhr zum Frühstück ein.	{H0005221=Berlin|H0005221, H0011492=London|H0011492}	{H0002047=Poggendorff|H0002047|https://upload.wikimedia.org/wikipedia/commons/6/69/Johann_Christian_Poggendorff.jpg, H0006276=Wilhelm Weber|H0006276|https://upload.wikimedia.org/wikipedia/commons/5/55/Wilhelm_Eduard_Weber_II.jpg}	[]
H0005424	1822-10-17	H. erwägt den Gedanken, nach Mexiko überzusiedeln und dort eine Akademie der Wissenschaften für die lateinamerikanischen Länder zu gründen (B: H. an Wilhelm von Humboldt). Etwa zu dieser Zeit wird ihm klar, dass die asiatische Reise in ihrer bisherigen Konzeption (über Indien und Tibet) nicht zu verwirklichen ist.	{H0006686=Indien|H0006686, H0008847=Mexiko|H0008847, H0009370=Tibet|H0009370}	{H0012068=Bruder|H0012068|https://upload.wikimedia.org/wikipedia/commons/a/af/WilhelmvonHumboldt.jpg}	[]
H0005425	1822-10-24	Der König trifft in Venedig ein; Abreise 28.10.; H. gehört zum Gefolge des Königs.	{H0009115=Venedig|H0009115}	{H0002177=König|H0002177|https://upload.wikimedia.org/wikipedia/commons/7/76/Friedrich_Wilhelm_III.%2C_K%C3%B6nig_von_Preu%C3%9Fen_%28unbekannter_Maler%29.jpg}	[]
H0005426	1822-10-28	H. trifft im Gefolge des Königs wieder in Verona ein.	{H0009139=Verona|H0009139}	{H0002177=König|H0002177|https://upload.wikimedia.org/wikipedia/commons/7/76/Friedrich_Wilhelm_III.%2C_K%C3%B6nig_von_Preu%C3%9Fen_%28unbekannter_Maler%29.jpg}	[]
H0005427	1822-11-05	An diesem Tag reist H. im Gefolge des Königs über Rom (B: 19.11.) nach Neapel ab. Reisedaten Friedrich Wilhelm III.: Ankunft in Rom 11.11., Abreise 19.11.	{H0001578=Neapel|H0001578, H0010653=Rom|H0010653}	{H0002177=König|H0002177|https://upload.wikimedia.org/wikipedia/commons/7/76/Friedrich_Wilhelm_III.%2C_K%C3%B6nig_von_Preu%C3%9Fen_%28unbekannter_Maler%29.jpg}	[]
H0005428	1822-11-21	H. trifft an diesem Tage in Neapel ein, Abreise am 5.12. Der Vesuv wird am 22.11. , 25.11. und 1.12. in Fußmärschen besucht.	{H0001578=Neapel|H0001578, H0009143=Vesuv|H0009143}	{}	[]
H0005429	1822-12-04	Besuch der Königlichen Eisengießerei in San Georgio bei Portici.	{}	{}	[]
H0005430	1822-12-05	H. reist im Gefolge Friedrich Wilhelms III. von Neapel ab; 5.12. bis Capua; H. und nimmt an einem Raketenmanöver in den Ebenen von Capua teil. Die Weiterreise kann nicht wie geplant stattfinden, da die Brücke über den Garigliano durch ein Hochwasser zerstört worden ist. H. bleibt mit dem Gefolge zwei Tage in Sant' Agata bei Sessa, von wo aus er geologische Ausflüge in die benachbarten Berge unternimmt. Der König ist am 6.12. wieder in Neapel.	{H0001578=Neapel|H0001578, H0007120=Capua|H0007120}	{H0002177=König|H0002177|https://upload.wikimedia.org/wikipedia/commons/7/76/Friedrich_Wilhelm_III.%2C_K%C3%B6nig_von_Preu%C3%9Fen_%28unbekannter_Maler%29.jpg}	[]
H0005431	1822-12-07	Abreise des Königs von Neapel bis Terracina.	{H0001578=Neapel|H0001578}	{H0002177=König|H0002177|https://upload.wikimedia.org/wikipedia/commons/7/76/Friedrich_Wilhelm_III.%2C_K%C3%B6nig_von_Preu%C3%9Fen_%28unbekannter_Maler%29.jpg}	[]
H0005432	1822-12-08	Ankunft in Rom; H. ist im Gefolge des Königs.	{H0010653=Rom|H0010653}	{H0002177=König|H0002177|https://upload.wikimedia.org/wikipedia/commons/7/76/Friedrich_Wilhelm_III.%2C_K%C3%B6nig_von_Preu%C3%9Fen_%28unbekannter_Maler%29.jpg}	[]
H0005433	1822-12-11	H. reist im Gefolge Friedrich Wilhelms III. von Rom nach Berlin. Reiseroute: Florenz (B: , 15., 17.12.), Parma (B: 19.12.), Verona (B: 21.12.), Innsbruck (B: 25. und 26.12.), Dresden.	{H0004778=Florenz|H0004778, H0005221=Berlin|H0005221, H0005565=Dresden|H0005565, H0008130=Parma|H0008130, H0009139=Verona|H0009139, H0010653=Rom|H0010653}	{H0002177=König|H0002177|https://upload.wikimedia.org/wikipedia/commons/7/76/Friedrich_Wilhelm_III.%2C_K%C3%B6nig_von_Preu%C3%9Fen_%28unbekannter_Maler%29.jpg}	[]
H0005434	1822-12-15	H. in Florenz, Hotel de Schneider. Reisedaten Friedrich Wilhelm III.: 11.12. Abreise von Rom, 12.12. Foligno, 13.12. Arezzo, 14.–16.12. Florenz, 17.12. Abreise, Übernachtung in Covigliajo, 18.12. bis Bologna, 19.12. bis Parma, 20.–21.12. Verona, 22.12. bis Trient, 23.12. bis Brixen, 24.–26.12. Innsbruck, 26.12. bis St. Johann, 27.12. Salzburg, 28.12. Wels, 29.12. Coplitz, 30.12. Tabor, 31.12. Prag, 1.1.1823 Teplitz, 2.1. Großenhain, 3.1. Potsdam.	{H0004778=Florenz|H0004778, H0005298=Bologna|H0005298, H0008130=Parma|H0008130, H0008392=Potsdam|H0008392, H0008398=Prag|H0008398, H0009139=Verona|H0009139, H0009328=Teplitz|H0009328, H0009764=Salzburg|H0009764, H0010653=Rom|H0010653}	{H0002177=König|H0002177|https://upload.wikimedia.org/wikipedia/commons/7/76/Friedrich_Wilhelm_III.%2C_K%C3%B6nig_von_Preu%C3%9Fen_%28unbekannter_Maler%29.jpg}	[]
H0015073	1779-01-06	Tod Alexander Georg von Humboldts; Beisetzung zunächst in der Dorfkirche von Ringenwalde/Neumark, später in der Dorfkirche in Falkenberg bei Berlin.	{H0004759=Falkenberg|H0004759, H0005221=Berlin|H0005221}	{}	[]
H0015074	1779-01-09	Die „Königlich privilegirte Berlinische Staats- und gelehrte Zeitung“ meldet, dass am 6. 1. früh um 2 Uhr der „Königl. Preußische Cammerherr und Major, Herr von Homboldt[sic!]“ verstorben ist.	{}	{}	[]
H0005739	1848-01-07	H. signiert die Porträtzeichnung (Halbfigur, sitzend), zu der er Rudolf Lehmann in Paris gesessen hat.	{H0008129=Paris|H0008129}	{}	[]
H0005740	1848-01-12	H. reist von Paris nach Berlin zurück. Übernachtungsorte: Brüssel, Deutz bei Köln (14.1.), Hannover.	{H0000446=Köln|H0000446, H0005221=Berlin|H0005221, H0005371=Brüssel|H0005371, H0006803=Hannover|H0006803, H0008129=Paris|H0008129}	{}	[]
H0005741	1848-01-16	H. trifft in Berlin ein.	{H0005221=Berlin|H0005221}	{}	[]
H0005742	1848-01-18	H. nimmt an einem Kapitel des Schwarzen Adler-Ordens im Berliner Schloss teil.	{}	{}	[]
H0005743	1848-01-26	H. wird auf der Gesamtsitzung der Kaiserlichen Akademie der Wissenschaften zu Wien zum Ausländischen Ehrenmitglied gewählt (Bestätigung am 1.2.1848).	{H0007962=Wien|H0007962}	{}	[]
H0005744	1848-02-20	H. an Grippe erkrankt und bettlägerig.	{}	{}	[]
H0005745	1848-03-18	H. begibt sich früh in das Berliner Schloss, um während der Revolutionsereignisse vermittelnd auf König Friedrich Wilhelm IV. einzuwirken.	{}	{H0002178=König|H0002178|https://upload.wikimedia.org/wikipedia/commons/f/fd/FWIV.jpg}	[]
H0005746	1848-03-22	Beisetzung der Märzgefallenen im Berliner Friedrichshain; H. geht im Trauerzug. H. gehört bis 1850 dem „freien Handwerkerverein“ an.	{}	{}	[]
H0005747	1848-05-21	Meyerbeer besucht H. in Potsdam.	{H0008392=Potsdam|H0008392}	{H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0005748	1848-07-31	H. leidet an „Wechselfieber mit gastrischen Komplikationen“, die ihn im Potsdamer Schlosse „sehr isolirt“ halten. (B: Brief an Christian Carl Josias Bunsen vom 29.7.1848)	{}	{}	[]
H0005749	1848-08-04	H. informiert Alexander Mendelssohn über seine Einkünfte seit 1804. Der Tag zuvor war „der letzte kritische Tag, der 21. ganz ohne Fieber.“	{}	{}	[]
H0005750	1848-08-11	H. besucht den Maler Wilhelm von Kaulbach in dessen Atelier in Berlin.	{H0005221=Berlin|H0005221}	{H0001275=Wilhelm von Kaulbach|H0001275|https://upload.wikimedia.org/wikipedia/commons/3/35/Wilhelm_Von_Kaulbach_by_Franz_Hanfstaengl%2C_1856.jpg}	[]
H0005751	1848-08-12	H. reist mit Friedrich Wilhelm IV. nach Köln. Reiseroute. Magdeburg (Übernachtung), Minden (Übernachtung).	{H0000446=Köln|H0000446, H0008576=Magdeburg|H0008576, H0008875=Minden|H0008875}	{H0002178=König|H0002178|https://upload.wikimedia.org/wikipedia/commons/f/fd/FWIV.jpg}	[]
H0005752	1848-08-14	H. trifft in Köln ein. Am folgenden Tage finden dort die Domfeier und ein Diner auf Schloss Brühl statt. H. bleibt noch einige Tage in Horchheim (B: 21.8. Ehrenbreitstein) und reist über Hannover (Übernachtung) zurück.	{H0000446=Köln|H0000446, H0005592=Ehrenbreitstein|H0005592, H0006803=Hannover|H0006803}	{}	[]
H0005753	1848-08-24	H. trifft in Potsdam ein.	{H0008392=Potsdam|H0008392}	{}	[]
H0005754	1848-08-28	H. wird durch die Universität Prag zum Dr. phil. h.c. und zum Dr. med. h.c. promoviert.	{}	{}	[]
H0005755	1848-08-31	H. geht es gesundheitlich wieder besser (Beleg: Jacob Grimm an H., 31.8.1848).	{}	{}	[]
H0005756	1848-09-04	Erster Besuch von Friedrich Althaus bei H. in Potsdam, Stadtschloss.	{H0008392=Potsdam|H0008392}	{}	[]
H0005757	1848-10-11	H. trägt am Hofe in Sanssouci eine aus alten Quellen zusammengestellte Beschreibung Babylons vor.	{H0010019=Sanssouci|H0010019}	{}	[]
H0005758	1848-10	H. verfasst eine Einführung zu dem Bericht des Prinzen Adalbert von Preußen über seine Reisen in Südeuropa und Brasilien.	{H0005346=Brasilien|H0005346}	{H0002139=Adalbert von Preußen|H0002139|https://upload.wikimedia.org/wikipedia/commons/d/dc/Adalbert_von_Preu%C3%9Fen.jpg}	[]
H0005759	1848-11-03	Richard Lepsius ist am Abend mit H. bei Friedrich Wilhelm IV. in Sanssouci, um über die Finanzierung des ägyptischen Werkes zu verhandeln.	{H0010019=Sanssouci|H0010019}	{H0002178=König|H0002178|https://upload.wikimedia.org/wikipedia/commons/f/fd/FWIV.jpg, H0004470=Richard Lepsius|H0004470|https://upload.wikimedia.org/wikipedia/commons/f/fd/Carl_Richard_Lepsius_%281810-1884%29.jpg}	[]
H0005760	1848-11	Wilhelm Beer sucht H. mehrmals in Potsdam wegen einer Kantate auf, die Meyerbeer zur Silberhochzeit von König Friedrich Wilhelm IV. komponiert.	{H0008392=Potsdam|H0008392}	{H0002178=König|H0002178|https://upload.wikimedia.org/wikipedia/commons/f/fd/FWIV.jpg, H0003204=Wilhelm Beer|H0003204|https://upload.wikimedia.org/wikipedia/commons/1/10/Wilhelm_Beer.jpg, H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0005761	1848-12-09	Meyerbeer besucht H.	{}	{H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0005762	1848-12-25	H. im Stadtschloss Potsdam.	{H0008392=Potsdam|H0008392}	{}	[]
H0005825	1845-01-04	H. trifft nach 22 Uhr in Paris ein. Adresse: Hôtel de Londres, Rue des Petits Augustins n. 3.	{H0008129=Paris|H0008129}	{}	[]
H0005826	1845-01-07	Audienz bei König Louis Philippe.	{}	{H0000238=Louis Philippe|H0000238|https://upload.wikimedia.org/wikipedia/commons/3/36/Franz_Xaver_Winterhalter_King_Louis_Philippe.jpg}	[]
H0005827	1845-01-27	H. nimmt an einer Sitzung der französischen Kammer teil.	{}	{}	[]
H0005828	1845-02-10	H. trifft den englischen Botaniker Joseph Dalton Hooker (1817–1911) (Quelle: The correspondence of Charles Darwin, Vol. 3, S. 141.)	{}	{H0011992=Joseph Dalton Hooker|H0011992|https://upload.wikimedia.org/wikipedia/commons/7/79/Sir_Joseph_Dalton_Hooker.jpg, H0012148=Charles Darwin|H0012148|https://upload.wikimedia.org/wikipedia/commons/4/45/Charles_Darwin_1880.jpg}	[]
H0005829	1845-03-15	Der Druck des „Kosmos“, Bd. 1, ist beendet (in Juni 1845 vergriffen!).	{}	{}	[]
H0005830	1845-03-17	Georg Graf von Cancrin besucht eine populäre Vorlesung über Astronomie von F. Arago im Pariser Observatorium und sitzt neben H., der ihm George Sand zeigt.	{}	{H0012670=Arago|H0012670|https://upload.wikimedia.org/wikipedia/commons/6/69/Fran%C3%A7ois_Arago.jpg, H0012872=Grafen Georg von Cancrin|H0012872|https://upload.wikimedia.org/wikipedia/commons/d/d4/Kankrin_Egor_Francevich.png}	[]
H0005831	1845-05-03	Die „Société de Géographie“ zu Paris wählt H. zu ihrem Präsidenten.	{}	{}	[]
H0005832	1845-05-19	H. tritt die Rückreise nach Berlin an. Reiseroute: Frankfurt/Main, Erfurt, Weimar.	{H0004798=Frankfurt/Main|H0004798, H0005221=Berlin|H0005221, H0005667=Erfurt|H0005667, H0007930=Weimar|H0007930}	{}	[]
H0005833	1845-05-26	H. trifft wieder in Berlin ein.	{H0005221=Berlin|H0005221}	{}	[]
H0005834	1845-06-07	Meyerbeer trifft H.	{}	{H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0005835	1845-06-12	H. hört mit seinen Freunden Rauch und Meyerbeer bei dem Generalintendanten der Berliner Staatstheater, Friedrich Wilhelm Graf von Redern, in Görlsdorf bei Angermünde die Sängerin Henriette Sontag (1803–1854).	{}	{H0000746=Christian Daniel Rauch|H0000746|https://upload.wikimedia.org/wikipedia/commons/d/d6/Christian_Daniel_Rauch_2.JPG, H0000773=Friedrich Wilhelm Graf von Redern|H0000773|https://upload.wikimedia.org/wikipedia/commons/4/4b/Redern%2C_Friedrich_Wilhelm_von_%281802-1883%29.jpg, H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0005836	1845-06-14	H. trifft Wilhelm Grimm in der Conditorei Fuchs, Berlin Unter den Linden; Gespräch über Hs. Arbeit am zweiten Teil des „Kosmos“ und über Hs. Absicht, den König nach Kopenhagen zu begleiten (Beleg: Wilhelm Grimms Tagebuch).	{H0000460=Kopenhagen|H0000460, H0005221=Berlin|H0005221}	{H0002178=König|H0002178|https://upload.wikimedia.org/wikipedia/commons/f/fd/FWIV.jpg}	[]
H0005837	1845-06-16	H. trifft in Stettin mit Friedrich Wilhelm IV. zusammen, den er auf einem viertägigen Besuch in Kopenhagen begleitet. Am 17.6. mit dem Schiff nach Kopenhagen. Rückkehr nach Berlin am 23.6.Reisedaten Friedich Wilhelm IV.: 17.6. von Stettin mit dem Postdampfschiff „Königin Elisabeth“ nach Swinemünde, am Nachmittag Abfahrt nach Kopenhagen, 18.6. Ankunft in Kopenhagen, 19.–20.6. Kopenhagen und Friedensburg (H. überreicht in Kopenhagen Hans Christian Örsted ein Exemplar des „Kosmos“, Bd. 1; vgl. Correspondance de H. C. Örsted avec divers savants, Bd. 2. Kopenhagen 1920, S. 414); 21.6. Abreise über Stettin nach Berlin, 23.6. Sanssouci.	{H0000460=Kopenhagen|H0000460, H0005221=Berlin|H0005221, H0010019=Sanssouci|H0010019, H0010361=Stettin|H0010361}	{H0002178=König|H0002178|https://upload.wikimedia.org/wikipedia/commons/f/fd/FWIV.jpg}	[]
H0005838	1845-07-06	Meyerbeer besucht H. um 14.45 Uhr.	{}	{H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0005839	1845-07-15	Erneute Aufführung eines Stückes von Plautus durch Studenten unter Leitung von Karl Eduard Geppert und in Anwesenheit H.s.	{}	{H0002030=Plautus|H0002030|https://upload.wikimedia.org/wikipedia/commons/3/35/Plautus.jpg, H0013411=Karl Eduard Geppert|H0013411|https://upload.wikimedia.org/wikipedia/commons/d/d6/Karl_Eduard_Geppert.jpg}	[]
H0005840	1845-07-24	H. zu Gast bei Amalie Beer in der Villa im Tiergarten.	{}	{H0003199=Amalie Beer|H0003199|https://upload.wikimedia.org/wikipedia/commons/e/e9/Amalie_Beer.jpg}	[]
H0005841	1845-07-24	In der Nacht zum 25.7. verlässt H. Berlin, um an der Enthüllung des Beethoven-Denkmals in Bonn teilzunehmen. Reiseroute: Hannover, Paderborn. H. wohnt in Horchheim (gegenüber Stolzenfels) bei Joseph Mendelssohn (B: bis 14.8.) und besucht den Fürsten Metternich im Schloss Johannisberg bei Rüdesheim. Am 4.8. besucht er seine Nichte Gabriele von Bülow und deren Ehemann Heinrich von Bülow in Frankfurt am Main. Rückreise nach Horchheim am 7.8. Am 10.8. fährt er nach Schloss Brühl.	{H0004798=Frankfurt am Main|H0004798, H0005221=Berlin|H0005221, H0005309=Bonn|H0005309, H0006803=Hannover|H0006803, H0008016=Paderborn|H0008016, H0010364=Stolzenfels|H0010364, H0010675=Rüdesheim|H0010675}	{H0003768=Gabriele von Bülow|H0003768|https://upload.wikimedia.org/wikipedia/commons/6/63/GabrieleVonBuelow.png, H0003770=Heinrich von Bülow|H0003770|https://upload.wikimedia.org/wikipedia/commons/b/b5/Heinrich_von_B%C3%BClow_%28IZ_04-81%29.jpg, H0014108=Joseph Mendelssohn|H0014108|https://upload.wikimedia.org/wikipedia/commons/1/11/Joseph_Mendelssohn_cropped.jpg, H0014166=Fürsten Metternich|H0014166|https://upload.wikimedia.org/wikipedia/commons/f/f2/Metternich_by_Lawrence.jpeg}	[]
H0005842	1845-08-12	H. nimmt an der Einweihung des Denkmals für Ludwig van Beethoven in Bonn in Anwesenheit von König Friedrich Wilhelm IV. der Königin Victoria von Großbritannien teil.	{H0005309=Bonn|H0005309}	{H0002178=König|H0002178|https://upload.wikimedia.org/wikipedia/commons/f/fd/FWIV.jpg, H0003205=Ludwig van Beethoven|H0003205|https://upload.wikimedia.org/wikipedia/commons/c/c0/Beethovensmall.jpg}	[]
H0005843	1845-08-21	Im Anschluss an die Hoffeste auf Schloss Brühl und Stolzenfels unternimmt H. bis etwa 23.8. eine „kleine geognostische Reise“ zusammen mit Ehrenberg und dem Geologen Heinrich von Dechen in die vulkanischen Landschaften der Eifel. Auf der Rückreise besucht H. in Hannover Caroline Herschel und den Altertumsforscher Georg Friedrich Grotefend.	{H0006803=Hannover|H0006803, H0010364=Stolzenfels|H0010364}	{H0005875=Christian Gottfried Ehrenberg|H0005875|https://upload.wikimedia.org/wikipedia/commons/4/48/Ehrenberg_Christian_Gottfried_1795-1876.png, H0011832=Caroline Herschel|H0011832|https://upload.wikimedia.org/wikipedia/commons/0/09/Caroline_Lucretia_Herschel.jpg, H0012171=Heinrich von Dechen|H0012171|https://upload.wikimedia.org/wikipedia/commons/0/00/Ernst_heinrich_von_dechen.jpg}	[]
H0005844	1845-08-28	H. trifft wieder in Berlin ein.	{H0005221=Berlin|H0005221}	{}	[]
H0005845	1845-09-17	H. erwähnt die Ankunft der Kaiserin von Rußland.	{}	{H0001156=Kaiserin Aleksandra Fedorovna von Russland|H0001156|https://upload.wikimedia.org/wikipedia/commons/4/4e/Alexandra_Fedorovna_in_yellow_Russian_dress_%281836%2C_A.Malyukov%2C_Hermitage%29.jpg}	[]
H0005846	1845-10-23	Wilhelm Beer besucht H. in Potsdam.	{H0008392=Potsdam|H0008392}	{H0003204=Wilhelm Beer|H0003204|https://upload.wikimedia.org/wikipedia/commons/1/10/Wilhelm_Beer.jpg}	[]
H0005847	1845-10-31	H. wird durch die Universität Tübingen zum Dr. phil. h.c. promoviert.	{}	{}	[]
H0005848	1845-12-10	H. nimmt an der Sitzung des preußischen Staatsrates teil.	{}	{}	[]
H0014659	1797-01-02	Wilhelm und Caroline von Humboldt erwarten H.s Besuch in Jena.	{H0006574=Jena|H0006574}	{H0012060=Caroline von Dacheröden|H0012060|https://upload.wikimedia.org/wikipedia/commons/e/ed/Carolina_von_Humboldt_mit_Gitarre.jpg, H0012068=Bruder|H0012068|https://upload.wikimedia.org/wikipedia/commons/a/af/WilhelmvonHumboldt.jpg}	[]
H0014660	1797-01-12	Der Mathematiker Jean Trembley (1749–1811) verliest in der Berliner Akademie der Wissenschaften einen Brief von H. an M.-A. Pictet über seine Beobachtung des Magnetismus des Serpentinsteins im Fichtelgebirge.	{H0004771=Fichtelgebirge|H0004771}	{H0001968=M.-A. Pictet|H0001968|https://upload.wikimedia.org/wikipedia/commons/8/81/Pictet_Marc-Auguste.jpg}	[]
H0014661	1797-01-13	Goethe trifft H. in Jena bei Wilhelm und Caroline von Humboldt.	{H0006574=Jena|H0006574}	{H0012060=Caroline von Dacheröden|H0012060|https://upload.wikimedia.org/wikipedia/commons/e/ed/Carolina_von_Humboldt_mit_Gitarre.jpg, H0012068=Bruder|H0012068|https://upload.wikimedia.org/wikipedia/commons/a/af/WilhelmvonHumboldt.jpg, H0013530=Goethe|H0013530|https://upload.wikimedia.org/wikipedia/commons/0/0e/Goethe_%28Stieler_1828%29.jpg}	[]
H0014662	1797-01-24	H. bis Ende Februar in Bayreuth (B: 26.2.).	{H0005176=Bayreuth|H0005176}	{}	[]
H0014663	1797-03-01	H. erneut in Jena; Begegnungen mit Goethe, der vom 20.2.–31.3. in Jena weilt, am 1., 3., 4., 5., 6., 8., 11., 16., 19., 27.3. und mit Schiller. H. bleibt, von kurzen Reisen abgesehen, in Jena und stellt umfangreiche Versuchsreihen über Galvanismus und Wirkung von Chemikalien auf Tiere und Pflanzen an (im Laboratorium der Naturforschenden Gesellschaft Jena und im Anatomischen Theater bei Justus Christian Loder, wo er „täglich fast 6–7 Stunden“ präpariert); er beendet den ersten Band der „Versuche über die gereizte Muskel- und Nervenfaser“ (Posen und Berlin 1797).	{H0005221=Berlin|H0005221, H0006574=Jena|H0006574, H0008385=Posen|H0008385}	{H0004586=Justus Christian Loder|H0004586|https://upload.wikimedia.org/wikipedia/commons/a/a4/JustusChristianLoder.jpg, H0013530=Goethe|H0013530|https://upload.wikimedia.org/wikipedia/commons/0/0e/Goethe_%28Stieler_1828%29.jpg}	[]
H0014664	1797-03-03	H. hält am Abend Goethe in Jena einen Vortrag über das galvanische Fluidum. „Fortsetzung über den Galvanismus“ (5./6.3.).	{H0006574=Jena|H0006574}	{H0013530=Goethe|H0013530|https://upload.wikimedia.org/wikipedia/commons/0/0e/Goethe_%28Stieler_1828%29.jpg}	[]
H0014665	1797-03-08	H. führt dem Herzog Carl August von Weimar, der in Jena weilt, Experimente vor.	{H0006574=Jena|H0006574}	{}	[]
H0014666	1797-04-18	H. bis 25.4. in Weimar (Begegnungen mit Goethe: 19., 20., 21., 23., 24.,25.4.), dann erneut in Jena.	{H0006574=Jena|H0006574, H0007930=Weimar|H0007930}	{H0013530=Goethe|H0013530|https://upload.wikimedia.org/wikipedia/commons/0/0e/Goethe_%28Stieler_1828%29.jpg}	[]
H0014667	1797-05-11	H. mißt mit dem Senkbarometer die Höhe des Fuchsturmes bei Jena.	{H0006574=Jena|H0006574}	{}	[]
H0014668	1797-05-23	H. besucht den wieder in Jena weilenden Goethe; desgl. am 26.5. (Gespräch über Weberei in der Antike). Am 29.5. trifft H. mit Goethe bei dem Anatomen Justus Christian von Loder zusammen.	{H0006574=Jena|H0006574}	{H0004586=Justus Christian Loder|H0004586|https://upload.wikimedia.org/wikipedia/commons/a/a4/JustusChristianLoder.jpg, H0013530=Goethe|H0013530|https://upload.wikimedia.org/wikipedia/commons/0/0e/Goethe_%28Stieler_1828%29.jpg}	[]
H0014669	1797-05-26	H. bis zum 28.5. mit Loder und R. von Haeften in Rudolstadt.	{}	{H0004586=Justus Christian Loder|H0004586|https://upload.wikimedia.org/wikipedia/commons/a/a4/JustusChristianLoder.jpg}	[]
H0014670	1797-05-30	H. reist an diesem Tag (B: Goethes Tagebuch) oder am 31. mit Caroline von Humboldt, deren Kindern und der Familie von Haeften von Jena ab. Sie treffen etwa am 3.6. in Dresden ein. Wilhelm von Humboldt war am 11.6. von Berlin nach Dresden aufgebrochen. In Dresden wird das Erbe der Mutter zwischen den Brüdern unter Mitwirkung von Kunth geteilt.	{H0005221=Berlin|H0005221, H0005565=Dresden|H0005565, H0006574=Jena|H0006574}	{H0012060=Caroline von Dacheröden|H0012060|https://upload.wikimedia.org/wikipedia/commons/e/ed/Carolina_von_Humboldt_mit_Gitarre.jpg, H0012068=Bruder|H0012068|https://upload.wikimedia.org/wikipedia/commons/a/af/WilhelmvonHumboldt.jpg, H0013530=Goethe|H0013530|https://upload.wikimedia.org/wikipedia/commons/0/0e/Goethe_%28Stieler_1828%29.jpg}	[]
H0014671	1797-06-14	H. stellt auf dem Königstein Höhenmessungen an, wohin er von Dresden aus einen Ausflug unternommen hat.	{H0005565=Dresden|H0005565}	{}	[]
H0014672	1797-06-20	H. in Freiberg.	{H0004805=Freiberg|H0004805}	{}	[]
H0014673	1797-06-21	H. in Tharandt.	{}	{}	[]
H0014674	1797-06-26	H. soll dem Kurfürsten Friedrich August III. von Sachsen vorgestellt werden (B: H. an J. K. Freiesleben, 21.6.1797, W. v. H. an Schiller, 25.6.1797).	{}	{H0000264=Freiesleben|H0000264|https://upload.wikimedia.org/wikipedia/commons/f/f9/Johann_Carl_Freiesleben_1774-1846_%2801%29.JPG, H0012068=Bruder|H0012068|https://upload.wikimedia.org/wikipedia/commons/a/af/WilhelmvonHumboldt.jpg}	[]
H0014675	1797-06-26	H. reist von Dresden nach Freiberg und am 27.6. weiter nach Marienberg.	{H0004805=Freiberg|H0004805, H0005565=Dresden|H0005565, H0008718=Marienberg|H0008718}	{}	[]
H0014676	1797-06-28	H. hält sich 3 Tage bei Freiesleben in Marienberg auf und will auf der Rückreise noch bis etwa 4.7. in Freiberg bleiben.	{H0004805=Freiberg|H0004805, H0008718=Marienberg|H0008718}	{H0000264=Freiesleben|H0000264|https://upload.wikimedia.org/wikipedia/commons/f/f9/Johann_Carl_Freiesleben_1774-1846_%2801%29.JPG}	[]
H0014677	1797-07-04	Besuch des Amalgamierwerks in Halsbrücke und der Grube „Beschert Glück“ durch H. gemeinsam mit dem Ehepaar von Haeften.	{}	{}	[]
H0014678	1797-07-08	H. führt in Dresden auf dem Schlossturm barometrische Messungen aus.	{H0005565=Dresden|H0005565}	{}	[]
H0014679	1797-07-12	H. besucht erneut das Amalgamierwerk in Halsbrücke; am Abend wieder in Dresden.	{H0005565=Dresden|H0005565}	{}	[]
H0014680	1797-07-20	H. in Freiberg.	{H0004805=Freiberg|H0004805}	{}	[]
H0014681	1797-07-25	H. reist von Dresden nach Wien ab. Reiseroute: Teplitz (Teplice; 27.7.), Prag (30.7.; Besuch der Sternwarte).	{H0005565=Dresden|H0005565, H0007962=Wien|H0007962, H0008398=Prag|H0008398, H0009328=Teplice|H0009328}	{}	[]
